x1,level,target
-2.9057,1,79
-3.2075,1,80
-2.8038,1,51
-3.0069,1,43
-3.0069,1,89
-3.4175,1,19
-2.6671,1,19
-2.6671,1,15
-3.1222,1,33
-2.4852,1,9
-2.5293,1,12
-1.1375,2,156
-1.3977,2,110
-0.4386,2,77
-1.0249,2,56
-0.5033,2,220
-1.4609,2,46
-1.8956,2,47
-2.5541,2,50
-1.9671,2,90
-2.3444,2,62
-0.6578,2,85
-3.8836,2,141
-4.4592,2,38
-4.8576,2,121
-2.6027,2,218
-3.5346,2,50
-4.0251,2,97
-3.9857,2,98
-4.4592,2,75
-4.1117,2,85
-3.5346,2,209
-3.2736,2,127
-3.8126,2,98
-3.6015,2,58
-3.5991,2,151
-2.9414,2,66
-2.2504,2,25
-2.3269,2,91
-2.0662,2,42
-5.1393,2,160
-5.7887,3,209
-5.8989,3,43
-5.245,3,28
-5.1866,3,41
-5.217,3,42
-5.0981,3,6
-5.4778,3,57
-5.217,3,20
-5.5612,3,21
-5.8439,3,31
-6.0623,3,23
-5.9509,3,79
-6.114,3,24
-6.1151,3,57
-0.9368,4,33
-0.0884,4,20
2.7823,4,15
3.2047,4,29
3.7856,4,9
3.5087,4,7
5.3566,4,14
1.9737,4,17
2.5436,4,7
3.0821,4,8
2.1911,4,10
-0.6221,4,13
-0.4548,4,9
-1.0124,4,7
0.9771,4,13
1.366,4,8
1.6602,4,19
0.2517,4,9
0.1042,4,16
-0.5807,4,44
-0.375,4,14
-0.06,4,24
1.452,4,12
-0.453,4,13
1.0764,4,11
0.3122,4,14
0.1511,4,5
-0.1392,4,13
-1.7997,4,11
-0.1498,4,8
-1.2866,4,16
-0.7599,4,3
0.556,4,9
1.5737,4,13
2.3619,4,8
0.2315,4,3
-1.6795,4,12
-2.1093,4,42
-0.7146,4,77
-0.6373,4,15
-0.6373,4,40
-0.4819,4,16
-0.5598,4,34
-0.7916,4,30
-0.7146,4,41
-0.9447,4,18
4.9606,4,5
6.4726,4,16
6.8973,4,18
3.8485,4,2
7.4113,4,11
2.3668,4,5
1.7567,4,9
2.0165,4,11
-1.1375,4,14
-1.2866,4,7
-1.4346,4,28
-0.836,4,10
4.9606,4,5
4.1319,4,7
4.6719,4,13
4.0649,4,7
3.2342,4,5
5.4555,4,9
4.2907,4,3
3.693,4,7
-2.6671,4,63
-2.5983,4,35
0.546,4,25
0.8774,4,17
-0.375,4,6
0.2517,4,12
1.3832,4,14
-1.7997,4,9
-1.9671,4,8
-2.0155,4,10
2.1037,4,12
2.1911,4,19
1.3294,4,9
1.4143,4,4
5.949,4,3
5.5376,4,1
6.7371,4,22
6.5751,4,44
7.6517,4,17
5.5807,4,11
2.0421,4,12
4.9771,4,10
5.077,4,14
3.0487,4,22
2.3947,4,22
2.2178,4,50
2.9576,4,5
2.4166,4,18
-4.1278,5,20
-4.1117,5,27
-3.5871,5,28
-5.349,5,31
-4.5569,5,32
-4.5581,5,16
-4.1686,5,28
-4.5581,5,35
-5.8745,5,31
-5.7101,5,9
-5.7463,5,18
-5.7101,5,23
-6.0027,5,11
-4.8949,5,65
-4.8358,5,52
-4.7168,5,34
-4.845,5,43
-3.4478,5,313
-3.9394,5,27
-3.5556,5,24
-3.7487,5,20
-2.494,5,36
-3.3243,5,74
-2.9639,5,65
-3.7487,5,45
-2.1284,5,10
-2.8121,5,69
-3.7487,5,29
-3.0985,5,53
-2.2713,5,39
-3.3399,5,33
-2.3696,5,28
-2.5787,5,47
-2.4239,5,27
-3.7487,5,22
-2.9639,5,21
-3.2739,5,21
-4.5987,5,97
-3.9394,5,27
-4.5569,5,15
-4.7772,5,26
-4.4179,5,12
-5.2817,5,47
-5.3949,5,63
-5.2609,5,38
-5.4875,5,31
-4.5581,5,13
-3.6662,5,17
-3.4712,5,15
-4.1992,5,11
-3.513,5,19
-4.4784,5,4
-3.3399,5,11
-3.5779,5,15
-7.5623,5,8
-7.1104,5,23
-6.7138,5,19
-6.5611,5,13
-6.3218,5,28
-6.456,5,1
-6.8106,5,7
-6.4214,5,74
-6.0713,5,3
-8.1163,5,2
-8.9002,5,0
-7.7158,5,0
-5.8011,5,16
-5.8943,5,10
-5.451,5,4
-5.6191,5,4
6.1548,6,9
5.8535,6,6
6.0541,6,9
6.2558,6,8
9.1951,6,6
9.1951,6,5
10.38,6,10
10.832,6,9
11.54,6,5
8.0301,6,10
8.0301,6,4
8.2438,6,31
8.2438,6,4
8.4584,6,13
2.1828,6,11
3.5676,6,18
3.7546,6,9
3.1433,6,19
3.3254,6,31
3.0526,6,10
3.4169,6,16
3.6007,6,20
1.9864,6,22
2.0737,6,9
2.6858,6,17
2.0737,6,8
5.3026,6,8
5.3026,6,4
7.5343,6,109
7.961,6,12
7.8539,6,9
6.7371,6,4
4.4435,6,10
4.3472,6,36
4.7941,6,13
1.5821,6,23
1.4973,6,24
1.2448,6,4
1.8379,6,128
1.6671,6,15
1.7524,6,12
2.0962,6,16
3.3818,6,9
3.2893,6,13
3.8784,6,8
4.3196,6,13
4.6044,6,8
5.6539,6,6
8.1386,6,6
8.0307,6,2
2.7823,6,88
2.6035,6,14
1.8379,6,21
3.4169,6,13
3.0526,6,8
2.9622,6,25
8.5727,6,15
8.7536,6,22
9.4174,6,12
9.3061,6,8
9.5289,6,9
9.5634,6,11
10.203,6,2
10.38,6,15
9.7085,6,1
13.104,6,6
12.983,6,20
11.312,6,11
12.769,6,9
12.652,6,5
12.535,6,2
12.652,6,11
13.359,6,4
13.122,6,12
4.7941,6,5
4.9901,6,8
5.4666,6,8
5.5673,6,44
5.2862,6,6
5.0885,6,14
5.8711,6,9
6.0751,6,5
6.6938,6,11
1.2744,6,13
1.614,6,15
4.6307,6,9
5.1093,6,12
2.2492,6,6
1.8379,6,19
2.4836,6,19
1.8994,6,10
2.3947,6,22
2.5727,6,29
2.6622,6,35
2.7823,6,8
-5.322,7,1
-5.9527,7,0
-5.6017,7,3
-5.4906,7,0
-5.9527,7,2
-4.6169,7,0
-4.7764,7,21
-4.7168,7,4
-4.5569,7,1
-4.9944,7,0
-5.2993,7,2
-5.6963,7,2
-5.2423,7,2
-5.1101,7,0
-5.185,7,1
-3.8836,7,2
-4.5968,7,1
-4.7772,7,1
-4.1911,7,7
-4.4179,7,3
-4.5987,7,5
-4.5569,7,1
-4.314,7,3
-5.751,7,1
-5.9293,7,3
-5.8596,7,1
-2.3466,8,2
-2.3678,8,2
-2.2769,8,19
-4.972,9,14
-4.8547,9,26
-4.7363,9,11
-4.1278,9,34
-3.8761,9,62
-3.9394,9,32
-4.2127,9,107
-4.1911,9,150
-3.8761,9,15
-3.6846,9,64
-3.6436,9,31
